,hgnc.symbol,bin.id
DDX11L1,DDX11L1,1
WASH7P,WASH7P,1
MIR6859-1,MIR6859-1,1
MIR1302-2HG,MIR1302-2HG,1
MIR1302-2,MIR1302-2,1
FAM138A,FAM138A,1
OR4G4P,OR4G4P,1
OR4G11P,OR4G11P,1
OR4F5,OR4F5,1
CICP27,CICP27,1
RNU6-1100P,RNU6-1100P,1
DDX11L17,DDX11L17,1
WASH9P,WASH9P,1
MIR6859-2,MIR6859-2,1
RPL23AP24,RPL23AP24,1
WBP1LP7,WBP1LP7,1
OR4F29,OR4F29,1
CICP7,CICP7,1
MTND1P23,MTND1P23,1
MTND2P28,MTND2P28,1
MTCO1P12,MTCO1P12,1
MTCO2P12,MTCO2P12,1
MTATP8P1,MTATP8P1,1
MTATP6P1,MTATP6P1,1
MTCO3P12,MTCO3P12,1
WBP1LP6,WBP1LP6,1
OR4F16,OR4F16,1
CICP3,CICP3,1
RNU6-1199P,RNU6-1199P,1
LINC01409,LINC01409,1
FAM87B,FAM87B,1
LINC00115,LINC00115,1
LINC01128,LINC01128,1
FAM41C,FAM41C,1
TUBB8P11,TUBB8P11,1
LINC02593,LINC02593,1
SAMD11,SAMD11,1
NOC2L,NOC2L,1
KLHL17,KLHL17,1
PLEKHN1,PLEKHN1,1
PERM1,PERM1,1
HES4,HES4,2
ISG15,ISG15,2
AGRN,AGRN,2
RNF223,RNF223,2
C1orf159,C1orf159,2
LINC01342,LINC01342,3
MIR200B,MIR200B,3
MIR200A,MIR200A,3
MIR429,MIR429,3
TTLL10-AS1,TTLL10-AS1,3
TTLL10,TTLL10,3
TNFRSF18,TNFRSF18,3
TNFRSF4,TNFRSF4,3
SDF4,SDF4,3
B3GALT6,B3GALT6,3
C1QTNF12,C1QTNF12,3
UBE2J2,UBE2J2,3
LINC01786,LINC01786,4
SCNN1D,SCNN1D,4
ACAP3,ACAP3,4
MIR6726,MIR6726,4
PUSL1,PUSL1,4
INTS11,INTS11,4
MIR6727,MIR6727,4
CPTP,CPTP,4
TAS1R3,TAS1R3,4
DVL1,DVL1,4
MIR6808,MIR6808,4
MXRA8,MXRA8,4
AURKAIP1,AURKAIP1,4
NDUFB4P8,NDUFB4P8,4
CCNL2,CCNL2,4
MRPL20-AS1,MRPL20-AS1,5
MRPL20,MRPL20,5
RN7SL657P,RN7SL657P,5
MRPL20-DT,MRPL20-DT,5
ANKRD65,ANKRD65,5
ANKRD65-AS1,ANKRD65-AS1,5
TMEM88B,TMEM88B,5
LINC01770,LINC01770,5
VWA1,VWA1,5
ATAD3C,ATAD3C,5
ATAD3B,ATAD3B,5
ATAD3A,ATAD3A,5
TMEM240,TMEM240,5
SSU72,SSU72,5
FNDC10,FNDC10,6
MIB2,MIB2,6
MMP23B,MMP23B,6
CDK11B,CDK11B,6
SLC35E2B,SLC35E2B,6
MMP23A,MMP23A,6
CDK11A,CDK11A,6
